index	loc	size	ind1	ind2	loc	scaff	remove
1	1	234	0.43	0.38	8017	2146	C387
2	2	233	0.41	0.35	8052	2157	C249
3	3	232	0.38	0.35	8078	2164	C321
4	4	231	0.38	0.34	8111	2176	C594
5	5	230	0.37	0.32	8082	2163	C400
6	6	229	0.35	0.31	8121	2177	C303
7	7	228	0.34	0.3	8151	2187	C374
8	8	227	0.34	0.3	8183	2199	C620
9	9	226	0.33	0.3	8215	2207	C434
10	10	225	0.33	0.28	8194	2200	C502
11	11	224	0.31	0.27	8231	2213	C595
12	12	223	0.3	0.26	8270	2226	C575
13	13	222	0.28	0.25	8299	2237	C540
14	14	221	0.28	0.25	8329	2250	C544
15	15	220	0.27	0.25	8302	2238	C459
16	16	219	0.27	0.25	8328	2249	C237
17	17	218	0.27	0.24	8342	2253	C600
18	18	217	0.27	0.24	8371	2260	C494
19	19	216	0.26	0.23	8412	2274	C376
20	20	215	0.25	0.22	8382	2263	C506
