index	loc	a	A	b	B	h	H	u	U
1	CN_C69366023M359	0	112	0	0	0	98	0	24
2	CN_C69366149M946	0	111	0	0	0	90	0	33
3	CN_C69366295M1852	0	98	0	0	0	94	0	42
4	CN_C69367833M1278	0	96	0	0	0	109	0	29
5	CN_C69370447M1909	0	110	0	0	0	108	0	16
6	CN_C69373549M1553	0	92	0	0	0	85	0	57
7	CN_C69373877M433	0	102	0	0	0	93	0	39
8	CN_C69373877M516	0	113	0	0	0	97	0	24
9	CN_C69374753M18	0	111	0	0	0	102	0	21
10	CN_C69374753M131	0	122	0	0	0	83	29	0
11	CN_C69375049M683	0	130	0	0	0	85	0	19
12	CN_C69376107M1751	0	97	0	0	0	93	0	44
13	CN_C69378583M504	0	87	0	0	0	81	0	66
14	CN_C69380989M1558	0	109	0	0	0	85	40	0
15	CN_C69383121M467	0	105	0	0	0	83	0	46
16	CN_C69386523M1562	0	100	0	0	0	118	0	16
17	CN_C69387205M1239	0	85	0	0	0	107	0	42
18	CN_C69387205M1620	0	94	0	0	0	123	0	17
19	CN_C69390813M481	0	117	0	0	0	97	0	20
20	CN_C69397701M121	0	99	0	0	0	87	0	48
21	CN_C69398919M1956	0	118	0	0	0	103	0	13
22	CN_C69401429M1392	0	118	0	0	0	96	0	20
23	CN_C69405727M1610	0	107	0	0	0	90	0	37
24	CN_C69407887M1644	0	102	0	0	0	94	0	38
25	CN_C69411573M858	0	145	0	0	0	68	0	21
26	CN_C69412757M1346	0	110	0	0	0	102	0	22
27	CN_C69412907M178	0	109	0	0	0	90	35	0
28	CN_C69417205M1156	0	110	0	0	0	111	0	13
29	CN_C69418499M1304	0	102	0	0	0	101	0	31
30	CN_C69418981M1734	0	120	0	0	0	105	9	0
31	CN_C69419019M946	0	100	0	0	0	102	0	32
32	CN_C69419019M1045	0	104	0	0	1	114	15	0
33	CN_C69420507M1036	0	116	0	0	0	98	0	20
34	CN_C69422831M1152	0	120	0	0	0	92	0	22
35	CN_C69426005M639	0	95	0	0	0	95	0	44
36	CN_C69426825M602	0	100	0	0	0	96	0	38
37	CN_C69428203M1530	0	101	0	0	0	78	0	55
38	CN_C69431191M734	0	123	0	0	0	96	0	15
39	CN_C69431553M275	0	104	0	0	0	65	0	65
40	CN_C69433325M1475	0	100	0	0	0	102	0	32
41	CN_C69435965M1158	0	91	0	0	0	84	0	59
42	CN_C69437345M495	0	114	0	0	0	101	0	19
43	CN_C69441561M295	0	125	0	0	0	99	0	10
44	CN_C69441561M2143	0	111	0	0	0	87	0	36
45	CN_C69442977M1228	0	97	0	0	0	93	0	44
46	CN_C69442977M1230	0	100	0	0	0	92	0	42
47	CN_C69444965M399	0	102	0	0	0	83	0	49
48	CN_C69445645M1421	0	126	0	0	0	94	0	14
49	CN_C69446626M850	0	104	0	0	0	114	0	16
50	CN_C69447046M57	0	104	0	0	0	73	57	0
51	CN_C69450276M1234	0	115	0	0	0	83	0	36
52	CN_C69456578M2359	0	120	0	0	0	90	24	0
53	CN_C69456578M2509	0	115	0	0	0	87	0	32
54	CN_C69458508M2257	0	121	0	0	0	99	0	14
55	CN_C69462336M572	0	119	0	0	0	92	0	23
56	CN_C69468058M748	0	117	0	0	0	91	0	26
57	CN_C69468336M297	0	97	0	0	0	113	24	0
58	CN_C69469772M993	0	105	0	0	0	84	0	45
59	CN_C69475228M832	0	88	0	0	0	93	0	53
60	CN_C69476336M1400	0	89	0	0	0	112	0	33
61	CN_C69477010M1196	0	116	0	0	0	105	0	13
62	CN_C69484646M2333	0	108	0	0	0	113	0	13
63	CN_C69484646M2417	0	110	0	0	0	111	0	13
64	CN_C69485088M744	0	94	0	0	0	113	0	27
65	CN_C69486454M1834	0	117	0	0	0	94	23	0
66	CN_C69486708M180	0	127	0	0	0	86	0	21
67	CN_C69492126M89	0	107	0	0	0	110	0	17
68	CN_C69492894M2166	0	103	0	0	0	91	0	40
69	CN_C69493664M647	0	124	0	0	0	102	0	8
70	CN_C69497710M2320	0	111	0	0	0	110	0	13
71	CN_C69498464M1938	0	124	0	0	0	85	0	25
72	CN_C69500716M949	0	90	0	0	0	84	0	60
73	CN_C69501198M1855	0	93	0	0	0	87	0	54
74	CN_C69506794M2965	0	109	0	0	0	97	0	28
75	CN_C69508555M2434	0	113	0	0	0	99	0	22
76	CN_C69509737M489	0	107	0	0	0	101	0	26
77	CN_C69512229M2272	0	136	0	0	0	83	15	0
78	CN_C69512981M2132	0	124	0	0	0	95	15	0
79	CN_C69515367M2026	0	108	0	0	0	107	0	19
80	CN_C69516767M1247	0	104	0	0	0	112	0	18
81	CN_C69519451M2985	0	90	0	0	0	77	0	67
82	CN_C69519635M1192	0	128	0	0	0	79	27	0
83	CN_C69520339M2876	0	103	0	0	0	71	0	60
84	CN_C69521111M498	0	108	0	0	0	100	0	26
85	CN_C69526373M1836	0	119	0	0	0	91	0	24
86	CN_C69533481M142	0	113	0	0	0	87	0	34
87	CN_C69534349M2065	0	109	0	0	0	88	0	37
88	CN_C69536135M2975	0	80	0	0	0	116	0	38
89	CN_C69539623M2665	0	107	0	0	0	119	0	8
90	CN_C69539623M2708	0	113	0	0	0	118	0	3
91	CN_C69539623M2799	0	107	0	0	0	96	0	31
92	CN_C69548151M1818	0	111	0	0	0	72	0	51
93	CN_C69548151M3443	18	99	0	0	4	79	34	0
94	CN_C69548151M3520	0	108	0	0	0	73	53	0
95	CN_C69556603M2444	0	133	0	0	0	83	0	18
96	CN_C69556603M2459	0	123	0	0	0	84	0	27
97	CN_C69556603M3873	0	131	0	0	0	80	0	23
98	CN_C69559091M3961	0	118	0	0	0	99	0	17
99	CN_C69559361M2145	0	115	0	0	0	111	0	8
100	CN_C69561503M521	0	105	0	0	0	82	0	47
101	CN_C69561587M3572	0	96	0	0	0	72	66	0
102	CN_C69570937M4099	0	98	0	0	0	97	0	39
103	CN_C69574361M3108	0	112	0	0	0	86	0	36
104	CN_C69576515M3686	0	116	0	0	0	86	0	32
105	CN_C69576543M3251	0	99	0	0	0	115	0	20
106	CN_C69576543M3262	0	101	0	0	0	116	0	17
107	CN_C69583497M1942	0	102	0	0	0	83	0	49
108	CN_C69594533M3569	0	133	0	0	0	84	0	17
109	CN_C69595029M2599	0	117	0	0	0	92	0	25
110	CN_C69595667M1808	0	104	0	0	0	107	0	23
111	CN_C69597209M1491	0	113	0	0	0	105	0	16
112	CN_C69597209M2482	0	107	0	0	0	87	0	40
113	CN_C69598399M3103	0	107	0	0	0	95	32	0
114	CN_C69604239M3270	0	90	0	0	0	76	0	68
115	CN_C69604429M538	0	101	0	0	0	118	0	15
116	CN_C69611485M4825	0	106	0	0	0	108	0	20
117	CN_C69618231M915	0	108	0	0	0	108	0	18
118	CN_C69621713M3941	0	101	0	0	0	82	51	0
119	CN_C69641603M1029	0	102	0	0	0	88	0	44
120	CN_C69641603M1456	0	104	0	0	0	108	0	22
121	CN_C69641935M3087	0	117	0	0	0	96	0	21
122	CN_C69647458M6024	0	77	0	0	0	88	0	69
123	CN_C69649268M3906	0	112	0	0	0	90	0	32
124	CN_C69649268M3916	0	116	0	0	0	89	0	29
125	CN_C69655430M516	0	115	0	0	0	84	0	35
126	CN_C69658956M2617	0	166	0	0	0	60	0	8
127	CN_C69659812M6869	0	103	0	0	0	107	0	24
128	CN_C69659812M8762	0	109	0	0	0	112	0	13
129	CN_C69662686M5323	0	114	0	0	0	104	0	16
130	CN_C69663704M6878	0	105	0	0	0	95	0	34
131	CN_C69663704M8628	0	112	0	0	0	97	0	25
132	CN_C69663704M8748	0	112	0	0	0	91	0	31
133	CN_C69665414M64	0	130	0	0	0	86	0	18
134	CN_C69666570M1285	0	120	0	0	0	81	0	33
135	CN_S000001M42227	0	111	0	0	0	109	0	14
136	CN_S000001M171338	0	101	0	0	0	81	0	52
137	CN_S000008M39016	0	112	0	0	0	99	0	23
138	CN_S000008M152260	13	103	0	0	6	110	0	2
139	CN_S000008M516575	22	92	0	0	16	97	0	7
140	CN_S000008M551008	9	108	0	0	15	97	0	5
141	CN_S000008M551048	13	101	0	0	7	104	0	9
142	CN_S000008M562220	28	87	0	0	37	76	0	6
143	CN_S000008M646125	2	111	0	0	3	113	5	0
144	CN_S000008M659208	26	87	0	0	30	79	0	12
145	CN_S000008M659313	14	102	0	0	14	94	10	0
146	CN_S000008M720361	1	111	0	0	9	101	12	0
147	CN_S000008M735496	8	114	0	0	11	96	5	0
148	CN_S000008M767124	4	114	0	0	8	105	1	2
149	CN_S000008M769055	30	87	0	0	26	82	1	8
150	CN_S000008M771159	12	99	0	0	11	103	0	9
151	CN_S000008M854668	14	98	0	0	25	85	0	12
152	CN_S000008M859455	15	97	0	0	22	81	19	0
153	CN_S000008M859471	6	105	0	0	16	84	0	23
154	CN_S000008M859477	0	102	0	0	0	104	28	0
155	CN_S000008M937798	2	114	0	0	7	97	1	13
156	CN_S000008M959668	8	109	0	0	17	91	1	8
157	CN_S000008M1023366	24	95	0	0	22	80	0	13
158	CN_S000008M1057131	14	101	0	0	16	87	16	0
159	CN_S000008M1057160	23	91	0	0	18	90	0	12
160	CN_S000008M1124239	13	102	0	0	23	87	0	9
161	CN_S000008M1246415	11	106	0	0	5	110	0	2
162	CN_S000008M1324135	28	93	0	0	28	80	0	5
