index	loc	scaffold	locus	posit	target	dist	f1	f2	signif	select	parent	swap	new_signif
1	CN_C69366023M359	CN_C69366023	CN_C69366023M359	359	NA	NA	NA	NA	234	single		NA	234
2	CN_C69366149M946	CN_C69366149	CN_C69366149M946	946	NA	NA	NA	NA	234	single		NA	234
3	CN_C69366295M1852	CN_C69366295	CN_C69366295M1852	1852	NA	NA	NA	NA	234	single		NA	234
4	CN_C69367833M1278	CN_C69367833	CN_C69367833M1278	1278	NA	NA	NA	NA	234	single		NA	234
5	CN_C69370447M1909	CN_C69370447	CN_C69370447M1909	1909	NA	NA	NA	NA	234	single		NA	234
6	CN_C69373549M1553	CN_C69373549	CN_C69373549M1553	1553	NA	NA	NA	NA	234	single		NA	234
7	CN_C69373877M433	CN_C69373877	CN_C69373877M433	433	CN_C69373877M516	33.5	0.143162393162393	0.0386740331491713	181	small		NA	181
8	CN_C69373877M516	CN_C69373877	CN_C69373877M516	516	CN_C69373877M433	33.5	0.143162393162393	0.0386740331491713	181	small		NA	181
9	CN_C69374753M18	CN_C69374753	CN_C69374753M18	18	CN_C69374753M34	10.5	0.0448717948717949	0	213	chosen	NA	yes	214
10	CN_C69374753M21	CN_C69374753	CN_C69374753M21	21	CN_C69374753M18	14.5	0.061965811965812	0	205	quasi-redundent	1	yes	213
11	CN_C69374753M34	CN_C69374753	CN_C69374753M34	34	CN_C69374753M18	10.5	0.0448717948717949	0	213	swaped	1	yes	213
12	CN_C69374753M35	CN_C69374753	CN_C69374753M35	35	CN_C69374753M18	12.5	0.0534188034188034	0	209	quasi-redundent	1	yes	214
13	CN_C69374753M51	CN_C69374753	CN_C69374753M51	51	CN_C69374753M18	10.5	0.0448717948717949	0	213	quasi-redundent	1	yes	214
14	CN_C69374753M79	CN_C69374753	CN_C69374753M79	79	CN_C69374753M18	10.5	0.0448717948717949	0	213	quasi-redundent	1	yes	214
15	CN_C69374753M101	CN_C69374753	CN_C69374753M101	101	CN_C69374753M131	14.5	0.061965811965812	0	205	quasi-redundent	8	no	205
16	CN_C69374753M131	CN_C69374753	CN_C69374753M131	131	CN_C69374753M101	14.5	0.061965811965812	0	205	chosen	10990	no	205
17	CN_C69374753M138	CN_C69374753	CN_C69374753M138	138	CN_C69374753M101	14.5	0.061965811965812	0	205	quasi-redundent	8	no	205
18	CN_C69374753M148	CN_C69374753	CN_C69374753M148	148	CN_C69374753M101	14.5	0.061965811965812	0	205	quasi-redundent	8	no	205
19	CN_C69375049M683	CN_C69375049	CN_C69375049M683	683	NA	NA	NA	NA	234	single		NA	234
20	CN_C69376107M1751	CN_C69376107	CN_C69376107M1751	1751	NA	NA	NA	NA	234	single		NA	234
21	CN_C69378583M504	CN_C69378583	CN_C69378583M504	504	NA	NA	NA	NA	234	single		NA	234
22	CN_C69380989M1548	CN_C69380989	CN_C69380989M1548	1548	CN_C69380989M1558	20	0.0854700854700855	0	194	quasi-redundent	9181	no	194
23	CN_C69380989M1558	CN_C69380989	CN_C69380989M1558	1558	CN_C69380989M1548	20	0.0854700854700855	0	194	chosen	10990	no	194
24	CN_C69383121M467	CN_C69383121	CN_C69383121M467	467	NA	NA	NA	NA	234	single		NA	234
25	CN_C69386523M1562	CN_C69386523	CN_C69386523M1562	1562	NA	NA	NA	NA	234	single		NA	234
26	CN_C69387205M1239	CN_C69387205	CN_C69387205M1239	1239	CN_C69387205M1620	36	0.153846153846154	0.05	180	small		NA	180
27	CN_C69387205M1620	CN_C69387205	CN_C69387205M1620	1620	CN_C69387205M1239	36	0.153846153846154	0.05	180	small		NA	180
28	CN_C69390813M481	CN_C69390813	CN_C69390813M481	481	NA	NA	NA	NA	234	single		NA	234
29	CN_C69397701M121	CN_C69397701	CN_C69397701M121	121	NA	NA	NA	NA	234	single		NA	234
30	CN_C69398919M1956	CN_C69398919	CN_C69398919M1956	1956	NA	NA	NA	NA	234	single		NA	234
31	CN_C69401429M1392	CN_C69401429	CN_C69401429M1392	1392	NA	NA	NA	NA	234	single		NA	234
32	CN_C69405727M1610	CN_C69405727	CN_C69405727M1610	1610	NA	NA	NA	NA	234	single		NA	234
33	CN_C69407887M1644	CN_C69407887	CN_C69407887M1644	1644	NA	NA	NA	NA	234	single		NA	234
34	CN_C69411573M858	CN_C69411573	CN_C69411573M858	858	NA	NA	NA	NA	234	single		NA	234
35	CN_C69412757M1346	CN_C69412757	CN_C69412757M1346	1346	NA	NA	NA	NA	234	single		NA	234
