index	loc	a	A	b	B	h	H	u	U
1	C486	40	4044	0	0	12	4798	2	47
2	C174	57	4479	0	0	9	4340	3	55
3	C520	80	5948	0	0	12	2840	2	61
4	C270	73	4380	0	0	11	4417	0	62
5	C251	58	3721	0	0	12	5082	9	61
6	C638	48	4028	0	0	17	4780	3	67
7	C301	50	3988	0	0	22	4813	8	62
8	C483	68	4504	0	0	83	4193	15	80
9	C300	71	4913	0	0	19	3879	3	58
10	C591	42	3318	0	0	44	5478	7	54
11	C472	64	5025	0	0	16	3749	6	83
12	C566	68	4422	0	0	15	4345	4	89
13	C326	72	4887	0	0	25	3886	9	64
14	C636	62	5271	0	0	33	3504	6	67
15	C578	62	4941	0	0	32	3815	4	89
16	C412	34	4601	0	0	32	4194	8	74
17	C320	62	5580	0	0	30	3178	8	85
18	C353	60	4280	0	0	61	4476	11	55
19	C435	42	3568	0	0	61	5175	12	85
20	C610	81	6254	0	0	39	2454	10	105
21	C553	42	3176	0	0	96	5527	22	80
22	C312	53	2708	0	0	67	6012	11	92
23	C645	58	4362	0	0	41	4384	11	87
24	C348	39	2982	0	0	87	5728	17	90
25	C219	48	3886	0	0	73	4833	12	91
26	C292	38	3660	0	0	82	5048	12	103
27	C385	56	5369	0	0	51	3357	14	96
28	C188	37	3083	0	0	59	5667	13	84
29	C173	74	5321	0	0	51	3391	10	96
30	C377	48	3612	0	0	64	5112	11	96
31	C206	42	4114	0	0	79	4593	10	105
32	C262	49	4964	0	0	86	3732	12	100
33	C415	66	3883	0	0	99	4773	9	113
34	C306	146	6057	0	0	13	2577	16	134
35	C413	57	4164	0	0	84	4512	20	106
36	C322	55	5551	0	0	77	3174	6	80
37	C390	59	4169	0	0	76	4513	19	107
38	C619	60	4340	0	0	99	4302	20	122
39	C380	65	4608	0	0	83	4090	18	79
40	C399	54	4618	0	0	90	4068	21	92
41	C416	118	5763	0	0	67	2875	10	110
42	C356	66	4216	0	0	99	4428	15	119
43	C498	69	4762	0	0	118	3859	19	116
44	C341	57	4468	0	0	119	4161	13	125
45	C330	112	4335	0	0	98	4236	11	151
46	C309	72	4461	0	0	116	4147	12	135
47	C401	82	4908	0	0	73	3733	21	126
48	C410	56	4361	0	0	91	4293	22	120
49	C189	32	2556	0	0	167	6004	21	163
50	C448	61	4029	0	0	124	4573	22	134
51	C606	67	4343	0	0	131	4210	20	172
52	C497	76	4891	0	0	92	3727	13	144
53	C373	72	4906	0	0	112	3709	15	129
54	C371	65	4737	0	0	106	3882	17	136
55	C313	50	3520	0	0	172	5022	31	148
56	C183	50	3528	0	0	163	5003	24	175
57	C177	38	3053	0	0	169	5479	24	180
58	C429	121	5320	0	0	104	3178	29	191
59	C333	83	4343	0	0	124	4225	22	146
60	C198	49	4678	0	0	135	3894	28	159
61	C331	61	4327	0	0	134	4224	29	168
62	C245	100	4836	0	0	135	3634	40	198
63	C344	96	5086	0	0	140	3388	26	207
64	C402	61	4233	0	0	139	4316	35	159
65	C253	110	5599	0	0	131	2903	36	164
66	C315	109	5433	0	0	144	3059	28	170
67	C343	100	5039	0	0	148	3444	21	191
68	C339	94	4365	0	0	162	4096	36	190
69	C209	139	4414	0	0	90	4078	30	192
70	C633	71	4083	0	0	205	4351	31	202
71	C430	77	3470	0	0	185	4941	31	239
72	C398	121	5403	0	0	131	3062	35	191
73	C260	86	4504	0	0	175	3917	35	226
74	C181	154	4271	0	0	99	4188	33	198
75	C618	78	2930	0	0	215	5406	48	266
76	C271	89	4712	0	0	180	3716	37	209
77	C369	134	4147	0	0	108	4321	42	191
78	C263	84	4448	0	0	181	3950	47	233
79	C642	75	3854	0	0	242	4499	34	239
80	C291	73	3408	0	0	215	4956	45	246
81	C366	45	2691	0	0	245	5710	45	207
82	C178	104	4479	0	0	206	3868	36	250
83	C258	138	4323	0	0	116	4106	44	216
84	C215	195	5719	0	0	59	2735	37	198
85	C440	111	4062	0	0	130	4405	39	196
86	C368	104	2572	0	0	186	5833	48	200
87	C432	111	3873	0	0	230	4415	42	272
88	C646	115	4475	0	0	222	3794	49	288
89	C268	152	4231	0	0	214	3997	55	294
90	C200	127	3910	0	0	145	4474	44	243
91	C351	151	4825	0	0	88	3616	43	220
92	C378	43	2432	0	0	316	5773	66	313
93	C275	101	4550	0	0	234	3738	61	259
94	C179	168	4936	0	0	122	3438	45	234
95	C293	134	4474	0	0	140	3913	55	227
96	C316	113	3296	0	0	189	5066	42	237
97	C370	120	4185	0	0	251	4012	56	319
98	C428	118	3742	0	0	257	4469	51	306
99	C180	196	4790	0	0	114	3542	50	251
100	C308	183	4767	0	0	170	3473	46	304
101	C367	79	2948	0	0	280	5236	55	345
102	C261	170	3956	0	0	163	4339	52	263
103	C276	116	4276	0	0	276	3946	46	283
104	C397	127	4740	0	0	238	3420	55	363
105	C299	149	5049	0	0	195	3174	48	328
106	C304	200	5248	0	0	221	2938	48	288
107	C439	164	5601	0	0	214	2532	48	384
108	C465	72	3096	0	0	352	5020	52	351
109	C382	81	3225	0	0	364	4779	81	413
110	C389	63	2841	0	0	273	5417	65	284
111	C171	140	4309	0	0	306	3723	72	393
112	C491	173	4750	0	0	163	3510	58	289
113	C274	128	3135	0	0	243	5074	56	307
114	C423	167	4726	0	0	240	3433	59	318
115	C228	107	3013	0	0	344	5084	71	324
116	C372	115	3585	0	0	381	4312	89	461
117	C626	162	3862	0	0	326	4105	72	416
118	C433	163	3834	0	0	339	4119	74	414
119	C213	167	4391	0	0	275	3624	73	413
120	C627	196	4175	0	0	328	3625	89	530
121	C246	147	3742	0	0	358	4173	114	409
122	C411	128	3271	0	0	438	4535	89	482
123	C473	209	4452	0	0	199	3625	73	385
124	C355	157	3866	0	0	384	3900	87	549
125	C613	157	3839	0	0	401	3879	102	565
126	C521	155	4167	0	0	324	3744	82	471
127	C414	198	5047	0	0	317	2723	112	546
128	C240	189	4511	0	0	291	3444	89	419
129	C451	232	5265	0	0	258	2673	87	428
130	C201	226	5485	0	0	261	2332	108	531
131	C461	193	3871	0	0	333	3989	85	472
132	C192	185	4329	0	0	345	3400	91	593
133	C391	255	5590	0	0	222	2226	94	556
134	C441	222	4076	0	0	314	3725	92	514
135	C227	165	4211	0	0	353	3578	99	537
136	C643	310	5102	0	0	239	2696	94	502
137	C286	221	4771	0	0	296	3094	101	460
138	C479	223	5050	0	0	337	2634	108	591
139	C462	243	5409	0	0	278	2393	96	524
140	C317	187	4223	0	0	351	3559	107	516
141	C396	221	4054	0	0	332	3726	95	515
142	C632	156	2891	0	0	451	4727	105	613
143	C294	200	4327	0	0	386	3168	146	716
144	C202	258	4253	0	0	356	3415	105	556
145	C277	315	4707	0	0	278	2825	138	680
146	C259	342	5236	0	0	221	2498	97	549
147	C281	278	4713	0	0	320	2945	116	571
148	C199	292	4697	0	0	288	2951	107	608
149	C197	179	3060	0	0	427	4509	131	637
150	C221	334	5186	0	0	217	2558	107	541
151	C644	189	4182	0	0	499	3137	161	775
152	C409	229	4735	0	0	377	2672	154	776
153	C446	183	3437	0	0	476	4064	127	656
154	C223	298	5191	0	0	257	2562	102	533
155	C296	291	4556	0	0	359	3016	115	606
156	C307	332	4374	0	0	280	3238	111	608
157	C266	413	5698	0	0	231	1879	109	613
158	C290	272	4414	0	0	365	2859	170	863
159	C467	318	5166	0	0	294	2194	154	817
160	C609	159	2660	0	0	500	4846	116	662
161	C238	307	3983	0	0	337	3549	132	635
162	C474	348	5456	0	0	255	2064	122	698
163	C522	219	3651	0	0	526	3383	183	981
164	C350	307	4500	0	0	323	2705	185	923
165	C340	253	3445	0	0	396	4097	118	634
166	C248	184	2904	0	0	536	4419	126	774
167	C342	433	5249	0	0	282	1972	158	849
168	C243	233	3457	0	0	475	3790	158	830
169	C640	305	3641	0	0	492	3591	140	774
170	C204	257	3276	0	0	489	3924	155	842
171	C512	390	5046	0	0	342	2024	186	955
172	C218	292	3516	0	0	494	3687	164	790
173	C449	339	3842	0	0	377	3477	143	765
174	C505	335	4162	0	0	405	3033	180	828
175	C187	340	4224	0	0	438	2665	207	1069
176	C207	320	4369	0	0	420	2582	215	1037
177	C194	373	4525	0	0	389	2696	175	785
178	C347	293	3613	0	0	485	3163	237	1152
179	C602	354	3844	0	0	377	3489	138	741
180	C431	345	4093	0	0	408	2629	233	1235
181	C616	480	5088	0	0	306	2073	174	822
182	C466	265	3413	0	0	539	3220	253	1253
183	C637	401	4000	0	0	431	2929	198	984
184	C222	468	4376	0	0	379	2613	174	933
185	C231	370	4296	0	0	415	2345	246	1271
186	C500	474	4174	0	0	382	2702	189	1022
187	C230	405	4133	0	0	432	2769	186	1018
188	C495	520	4963	0	0	281	1772	227	1180
189	C404	382	3976	0	0	487	3030	173	895
190	C519	296	2855	0	0	512	4247	166	867
191	C325	406	4345	0	0	366	2277	256	1293
192	C196	365	3542	0	0	487	3424	174	951
193	C212	293	3094	0	0	532	3338	254	1432
194	C418	489	4657	0	0	324	1959	251	1263
195	C524	475	4780	0	0	294	1827	264	1303
196	C560	403	3401	0	0	519	3258	240	1122
197	C242	466	4273	0	0	376	2096	259	1473
198	C513	440	4061	0	0	403	2623	248	1168
199	C568	378	3451	0	0	528	3058	240	1288
200	C490	411	3863	0	0	444	2754	235	1236
201	C427	479	3797	0	0	456	2915	221	1075
202	C424	386	3797	0	0	372	2388	330	1670
203	C442	469	4425	0	0	377	2214	228	1230
204	C443	547	4431	0	0	373	2236	220	1136
205	C469	435	3263	0	0	488	3437	220	1100
206	C285	391	3166	0	0	530	3238	265	1353
207	C475	375	3388	0	0	551	2993	271	1365
208	C252	533	4426	0	0	361	1903	303	1417
209	C186	601	4456	0	0	376	2041	246	1223
210	C543	525	3840	0	0	462	2505	265	1346
211	C603	324	2658	0	0	671	3756	240	1294
212	C234	622	4085	0	0	367	2150	287	1432
213	C459	517	3881	0	0	320	1767	430	2028
214	C540	511	3586	0	0	361	1968	395	2122
215	C237	467	3412	0	0	428	2189	423	2024
216	C454	499	3481	0	0	458	2492	359	1654
217	C544	665	4195	0	0	261	1322	390	2110
218	C581	624	3766	0	0	403	2016	355	1779
219	C506	548	3071	0	0	495	2582	376	1871
220	C600	672	4493	0	0	206	1143	389	2040
221	C494	457	2967	0	0	604	2537	354	2024
222	C376	524	2881	0	0	509	2674	377	1978
223	C575	456	2854	0	0	514	2447	433	2239
224	C321	492	3009	0	0	322	1731	539	2850
225	C620	776	3953	0	0	186	1032	470	2526
226	C595	721	3342	0	0	337	1766	431	2346
227	C374	762	3865	0	0	233	1071	475	2537
228	C502	565	2966	0	0	463	2017	482	2450
229	C594	714	3524	0	0	167	1152	532	2854
230	C400	782	3552	0	0	186	1118	532	2773
231	C303	857	3962	0	0	139	831	506	2648
232	C249	704	3135	0	0	187	1224	575	3118
233	C434	599	2669	0	0	500	2180	474	2521
234	C387	648	3069	0	0	219	1198	604	3205
